sensor1	sensor2	signal_strength	group
262	355	26.59802647244629	A
77.5245787575841	261.31283761933446	-2.302609426224233	B
151.7096754011665	206.34657356235522	-0.8456945703066593	C
230	338	16.99073467909891	A
167	340	16.046410843277993	A
107	216	14.157084779125052	A
229	52	24.34587118671839	A
24	246	15.216180613764996	A
190	2	25.15285988171031	A
212	255	14.599377067810094	A
246	265	24.030219574929752	A
198.30057262659906	151.6700902395814	1.4753386532751926	C
252	355	16.576492579516085	A
236.38141555711627	60.601657163351774	-0.23825573007277132	B
78	42	15.259836166762206	A
57	36	14.970401760368315	A
125	88	27.174432921522474	A
51	4	26.741174189372543	A
175.25527579709888	44.42048817873001	0.4834623949994934	B
209.20141802762708	265.9101303323875	1.3828148780252987	C
151.58531792656922	181.08073203980277	-0.5810206880787503	C
182	383	13.739953946940858	A
337.43534376844764	224.3504955433309	0.6059399160027903	B
132	36	17.391325567714844	A
208.18697735695554	237.77822154987038	0.24864588836216328	C
105	56	26.5084445165814	A
191.87512029207414	180.65670452490897	0.5482937192171956	C
110	166	25.338790694302027	A
145	388	14.083406011377368	A
79	85	26.484755475293827	A
183.24862049420236	217.61153798120407	-0.06726295845881071	C
120.93349061906338	145.70581065490842	-0.4517685778130795	B
200.33690021194133	189.8837570139935	-2.332775301232817	C
230	358	14.047040531197649	A
190.77049377663627	160.74256411407566	-0.8911928923250028	C
192	1	23.134242351739914	A
155	17	25.985609168644686	A
262.38497560843825	27.09009600803256	0.2806947761292545	B
197.81899945810437	144.53679341822863	0.3583358813023281	B
334	64	15.367943946033751	A
278.9562547904305	249.62709092111126	0.5559398806219595	C
227.58832063809103	223.6753442467368	0.42556127753363043	C
218.0342121407081	240.6365066996753	-0.7455077381367151	C
277	301	22.435278686379313	A
188.1238353643621	243.54986236160852	-0.1479876218059544	C
261	264	14.192137696704995	A
103	342	14.415944298863366	A
366.78226767107844	139.86301152035594	1.1127381411159967	B
267	196	14.11831294114356	A
108	244	15.358043692734181	A
180.7478660962468	171.5186185791032	-0.026063850917538357	C
282	50	14.188287811478121	A
334.25109228119254	317.52723632380366	-0.03797831131018026	B
128	52	14.914883035034375	A
21	219	15.297076093389608	A
35	2	25.526623176067734	A
69	7	24.793446996947555	A
218	365	25.084202930316977	A
280.0337916240096	309.6950948238373	-2.6378951316057653	B
208.57661655172706	246.97604840621352	0.4873836531462147	B
158.06871461114906	166.42126399728292	0.34444665217156717	C
241	120	15.341921395583558	A
74.85007410869002	20.92957077547908	0.5812827871547162	B
129.96234413351345	207.81546937500318	1.1437638317877998	C
5.417728051543236	22.439512331038713	0.523514981987282	B
220	354	24.32048480893347	A
112	261	24.888808164988582	A
309	392	25.22974042382413	A
257	200	16.719044460716106	A
340.9931315109134	103.04672662168741	0.08402257880317067	B
203.87115726295286	245.7954345701162	-0.19072496238270917	C
257	54	25.806619042575328	A
197.86548400413866	208.71530275977128	1.0429306982733144	C
223.02315844925565	220.59119629889028	-0.6132170587316635	C
250.94241878790191	285.671452930803	0.44501466144629076	C
234.28585830711057	312.084709581236	-0.4523398832765091	C
319	76	13.769879911520189	A
187.47494117650018	218.91945782981077	0.8956741237112718	C
40	337	15.888330327224361	A
261	327	25.20004035100057	A
393	20	14.689480770320328	A
69.10139787942171	39.42406512796879	0.5453779322022834	B
352	29	14.08364731702286	A
239.2358884337832	217.66639704082814	0.5051431645907705	C
72.43650005649256	238.5662648466097	-0.15621033209819746	C
266	327	15.709268660599252	A
35	286	14.263447874517325	A
347	62	14.974958278618404	A
266	261	24.299140145354706	A
46.44281305372715	236.67505104094744	0.8556686330781158	B
242	34	23.559120858097767	A
86.00673531338833	228.45993386611275	-0.7753486945595504	C
327.5714233517647	238.46134338527918	-1.3101858218378093	B
38.22377631440759	85.52638478577137	-1.4535055958296315	B
126	53	24.313768914645618	A
13	3	14.462190557161446	A
142.28479881144756	236.9131641660426	-0.00876330132073451	C
196	256	14.786655798744206	A
232.75941409220775	174.4184581447517	-0.393633533020598	C
161	123	25.559107772140738	A
107	175	14.241854067022697	A
291	51	14.922746143890349	A
227.7254085905484	184.2564198222739	0.2118698429633543	C
75	33	25.093525625467514	A
231.18051625788212	358.4377743303776	0.5256165776484308	B
78	115	27.098630435606143	A
76	5	15.689760703121085	A
99	336	26.33751759149727	A
202.20316587625854	151.44718697473996	-0.21020101898542165	C
170.46632095882393	247.2826716573542	0.3777397948988301	C
84	371	23.44407665449532	A
61	33	26.027864561256962	A
381.62731109187007	40.134978108108044	-0.834149358079656	B
225	226	24.611075402104426	A
217	36	15.349024165869764	A
129	135	25.52351493919916	A
237	125	15.033842767796985	A
296.8594817444682	105.913264490664	0.32897386391364414	B
274	30	24.425905636151107	A
8	30	13.48047161798639	A
186.03790618410073	239.81678014224087	0.8060906944041369	C
205.0660347339003	172.57504019054596	-0.5973078438959579	C
119	119	24.503830196961022	A
195	30	26.61294475749475	A
268	202	23.640466524775047	A
294	32	23.566842693757618	A
236.16109869609386	221.05035119034181	-0.5104416186358751	C
296	254	26.844736412301746	A
138.50011010300983	252.19618957954174	-0.25902474886612525	C
226	76	25.14914950864398	A
58	22	14.921075236276836	A
258	190	13.84235949168487	A
362	60	14.465850426025245	A
348.57931649312377	56.778345350176096	1.6286961208056199	B
369	54	14.097751401317801	A
247.2256892672346	169.81545698564153	1.82901501002068	C
194.18794253394086	195.45176836948863	-1.0643302403887132	C
160.4214862920344	29.82105491682887	0.9200757490145259	B
133	35	16.354442520382115	A
146.99063836209695	275.9476784871333	2.1302911000486033	C
139	287	24.39536000721927	A
107.2831243276596	203.19333598017693	1.6052105978602713	B
122.31532158330083	157.71957421675324	-0.9709798119286331	B
115.02883911165928	216.0427620223191	0.9324361663060348	C
86	375	24.841402443703025	A
29.517578147351742	192.03871935606003	1.9945097287898168	B
222.33976172283292	271.51237074285746	-1.4128919976634222	B
87	299	25.37813493727665	A
259.4273619049126	157.9082179468217	1.1752918610467173	C
196.6168663330207	192.46275167552324	0.4357696629477507	C
219.9073028737513	163.37497963960087	-0.277656035340624	C
244	358	14.9780913913692	A
44	47	14.516922851527461	A
58.35061818361282	87.71756989881396	-0.3961306070137714	B
229	172	14.083000709297583	A
316.8330542743206	143.55079093948007	1.1883818510243986	B
213	88	24.50264011870571	A
184.7778842978547	185.39299394267374	-0.5433041400811687	C
99.54919992014766	292.34455302357674	-0.3737877666898077	B
207.35136638322052	292.89799379053613	-0.5133670873469596	C
204.5617482920386	251.88300446467713	1.0695997792919623	C
193.64774012938142	114.63971948251128	0.384279218956194	B
372	50	14.742712883170542	A
221.13082164628972	206.10791450554987	1.1687855105961529	C
276	284	23.072990531674048	A
232	88	25.248927304161047	A
234.8817073384841	208.7181157322907	0.08601613596884987	C
50.954779889434576	202.1665790118277	3.769864861189506	B
322.470954246819	218.84037563577294	1.5891390099038882	B
126	245	13.731335730228459	A
376.8379997462034	366.8989953584969	-0.035176961590386954	B
156.92687954226383	248.70982207419956	-1.1866132874524349	C
264	360	25.417768943107312	A
104	114	24.128242591227632	A
191.59653331143545	183.62952166774747	0.2632870819814332	C
232	207	25.281779593592724	A
111	390	15.25952410505799	A
315	39	22.850317985346493	A
369.70369443297386	1.4065437018871307	0.03366365849841976	B
45.30269205570221	236.69133326038718	-0.5994776505584888	B
222	90	15.785854842342546	A
219	175	14.330381895981134	A
307	57	25.68757740089288	A
274	98	14.450688258373486	A
267	320	25.399111686945876	A
60	28	16.256411315265108	A
182.33882300555706	6.34725671261549	1.8348501843632603	B
185.1365689188242	318.1312677450478	-0.8290774657374138	B
237	150	23.92841194535957	A
239.79818772842324	243.37700798978187	-1.4868581980696007	C
301	2	15.147409634973299	A
220	84	17.63911312079439	A
214	198	15.454918553444056	A
127	343	14.468060720055405	A
125.27380175888538	376.0982663370669	0.3951465284039608	B
208.8838087801954	147.13769188860675	-0.31905433771641584	C
22	245	16.995498578591747	A
315	27	24.741554435437394	A
158.8728480041027	40.99171245470643	-0.1068585939802024	B
203.4380804747343	118.52363795042038	-1.5316424241398034	B
17.785020731389523	219.0567216835916	-0.8598763569093956	B
64.20939862728119	105.58005385100842	-0.30951282024006493	B
30.90220047160983	81.43063616007566	0.0628265084069449	B
249.8032127383683	210.09738148096915	0.40115593383757797	C
185	59	24.820279888918638	A
261	392	24.98192472809924	A
337	26	24.771721545069816	A
335.4329517111182	107.2629015892744	0.28205623795250473	B
164	4	23.953077124439083	A
192.37562802958712	116.29669568682564	-0.026479654987040753	C
247.6778993351141	294.5360476571777	2.194079941103677	C
98.5629040747881	151.3471352867782	0.7474376385108776	B
108	77	13.452562176707575	A
89	111	25.709799214800515	A
159	260	24.868445562428217	A
43.384132627397776	1.6413950361311436	-1.6023711650558392	B
256	321	24.086419033475284	A
121	91	24.76704866423412	A
109.90570710430411	211.2558778349285	-0.07448957300731437	C
187.71127456288718	244.60140814392648	-0.1473955879763188	C
118.11673079687792	180.67670978943968	-1.2668908215359507	C
108	183	25.193491308714773	A
179.62481719533582	174.37942605674445	-0.8960873498962216	C
213.7507805105824	336.76175424679263	-0.6060751320855582	C
139.39212414050132	147.23708191627347	-0.631009827573597	C
286	238	23.683031924974635	A
140.30819125677013	154.33064288259214	0.9095788163488185	C
147.79828331946965	255.62846431880197	0.5238351103294421	C
87	85	25.4857831220795	A
192	275	24.291302972114565	A
99	154	23.5581312762967	A
295.3831071034074	396.87899919226766	-0.7402586611239265	B
144	150	15.611869176880164	A
282	193	25.091326223576917	A
154.5127676418715	237.88579802174493	0.9510061942502127	C
197.44913512840867	19.893142580986023	0.8931046263611212	B
255.3906406833867	276.49420537691367	2.325835826312067	C
180	124	14.814154405614735	A
78	27	14.738281542400262	A
20	236	13.60052303849697	A
366.1708408035338	105.22922277450562	0.9431397612335588	B
84.91008318960667	84.45022907108068	-0.21052824578883841	B
141	366	14.94285182868826	A
112.04468021169305	299.55836422741413	0.8941557661725807	B
303.735086042434	228.66560388356447	0.9180861270763895	B
275	69	13.94046407552408	A
226	350	23.435189236092818	A
123.12264477819943	155.50500621047914	0.30291610977578165	C
231.92515753287748	197.94028943155124	0.7436665603617506	C
221.9673539764602	209.09885179505054	-1.4043670324884723	C
219.58358185365796	103.15160229802132	1.7247166608085571	B
227	187	24.218993414408214	A
107.5051581034367	94.9751285453068	-0.7229753342504415	C
227	216	25.40894187844484	A
228	131	16.46658167884792	A
248.57716699949606	274.9983073336433	0.5835432746517283	C
293	57	25.516345711247464	A
284.56212589517236	250.40725721046329	-0.5746670308692237	B
253.6016652751759	209.90656080583605	1.2417395378275768	C
180.67160993814468	385.5541274882853	-2.500293598696682	B
390.5073678120971	220.50911579281092	-0.4425721167830778	B
24	24	14.6292527891053	A
271	162	24.921057918001555	A
284.78765849033846	222.97384558035805	0.5344405446692896	C
349.15099991485476	56.94239800795913	0.818274584485154	B
64.21319395303726	176.99339110404253	-0.33683419063036685	B
121	358	14.56459240002642	A
41.337830293923616	118.15892783924937	-0.5623479242939623	B
100.87677193805575	107.88289466872811	-0.13217152565720378	B
106	175	24.034441594503686	A
109	53	25.427276915844065	A
246	343	16.506560328741106	A
20	276	14.998222203662323	A
319.7934312745929	195.28970262035728	-0.3979402344432063	B
219.87109285126564	192.77520432614074	-0.015966934456103022	C
203.13873229018202	230.2948696327635	0.2115934177772959	C
108	373	24.87641605652479	A
129	230	16.225733846502717	A
118	206	25.633574896469206	A
156.06269224812831	191.34996227940465	0.895101102734495	C
217.90712885558605	351.10119180753827	-0.5210210616764941	B
120	174	24.371605575505875	A
110	56	14.929743112294691	A
211.93442825977147	184.399943335611	-0.7302536695973003	C
232	210	25.315894862692172	A
293	36	23.86292651353263	A
382.0448209531605	141.64618263021111	0.30992757733930526	B
285.7627351768315	275.03134375438094	-0.2423026083563518	B
274.1953625046462	197.04747735191432	-0.4372529557985041	C
134	315	24.76147085776783	A
267	277	23.172410274589765	A
248.46722730985005	111.56200004575814	-0.4376852572458104	C
321	50	13.278671476797859	A
92.89609445258975	96.28136130049825	-1.9456797784775388	B
190.09240502491593	394.2015867680311	1.1325267190500146	B
153	120	17.199531598734385	A
99	151	25.397746239313587	A
240.4640288309966	221.99836778241436	0.45931451066344303	C
281.87830364331603	359.52086709439754	2.5495099894253923	B
37.93668132275343	86.29794456064701	0.7824876125170004	B
227.39299125025408	251.34417793697517	0.4036233457096783	C
221.46105729043484	316.47565122693777	1.1463068078753298	B
90	295	24.343742177050633	A
331.3895020633936	213.07372599840164	0.9847200478482249	B
215	16	25.755541873166777	A
97	16	16.173663238642767	A
262.0295794804357	190.28347283315568	-0.38809181138665344	C
291.8818788602948	260.1623496040702	-0.27933665687393255	B
395.9832165390253	182.3435134254396	-0.29253974322683135	B
216.0883901286528	147.4297408343633	-0.7316290698294773	C
355.865575093776	120.99445089697838	0.5475948730513985	B
49	338	14.772244614246514	A
239	172	15.746675872386707	A
117	19	16.298414607987738	A
119	274	25.15206882352548	A
164	365	15.922514618205778	A
166.19462441415234	190.70483451544055	0.5816640549633298	C
131.49780025705695	93.7454741448164	-0.8475871154780853	B
134	351	14.668661649313147	A
178.04524189872873	141.31042737935775	0.7536778429622408	C
179	235	16.702022608981633	A
335	22	23.549163622353454	A
210.7961237696174	310.6837342054765	-0.6647905986325942	C
242.40994422549008	84.71916976513548	-0.04052275531268996	C
241.63047504807906	253.34432939883646	0.6794120628474866	C
178	353	14.064080915114246	A
156.1160523444414	345.92225877568126	0.11619679721465889	B
76	278	16.286206468047386	A
96	375	24.138300809245397	A
35	21	16.634918284308938	A
275	31	25.065029335971396	A
220.90703215768826	275.01007669137203	0.34083429577244523	C
214	173	15.3526436872358	A
168	389	15.281360719071296	A
320.66616965457797	291.81108279153705	0.029351255387002586	B
227.88248467454406	203.34238690450294	0.5486647159289467	C
179.71053160727024	267.1761676669121	0.3346387607535288	B
153.84480534121394	5.118225887417793	-0.8041874605884749	B
164.10349300131202	266.9529801234603	-0.42872100106124555	B
45	35	24.43069157288571	A
177	167	13.935065163578724	A
267	37	13.91037796122194	A
299	297	25.167480931570683	A
13	48	24.640896521787596	A
379	12	14.290036508909242	A
169	386	16.235977129950715	A
90	47	14.433120501709887	A
326	81	15.78535024163503	A
263	279	17.146934776517224	A
109	73	25.293023040435326	A
344	115	14.430949389606443	A
116	96	17.0774540858008	A
140.86666479706764	250.57859709486365	-0.5498386624304175	B
275	365	25.615007224282593	A
343	67	15.000206002098844	A
174.3918247093717	185.34848949300513	1.0474321562421234	C
188.126741837296	159.74685523444722	0.21248796201531941	C
226.23325242865377	264.1788519269853	1.8918483795927312	C
335.36391388624907	154.2854132130742	1.4309685753515502	B
94	362	26.16091116215159	A
246.21575112150882	225.29786658654558	-1.1307895250052764	C
266.06302419677377	342.9355977103114	-0.7248255128440246	B
59	46	15.780515531868648	A
200	1	23.659340244314016	A
330	19	25.006788069116244	A
128	370	25.207500459502537	A
324.39552871510386	391.58826088532805	0.03826660173694947	B
145	68	26.866199554511965	A
394.433649815619	235.20747236907482	0.4521855312295478	B
291	48	14.540310514062245	A
364.31951485574245	359.1641136445105	-1.3253764024383563	B
78	39	25.89408868730924	A
185.66267788410187	32.248434238135815	-0.2924571424061441	B
139.9194388754069	149.09351857022975	1.1384644256942866	C
361.627094168216	370.3924666158855	-0.7799388911853687	B
176	372	14.875878209160913	A
114.42893333733082	140.79102696850896	1.7891430536429893	B
153	42	24.800853312472334	A
250	366	14.464245872901692	A
120	180	15.462301703403078	A
126	197	25.786527143727962	A
262	197	25.570187894407454	A
367.37933000549674	261.3621254451573	-0.04821771628558626	B
83.53614108636975	345.9385802038014	0.4765617549319524	B
272	297	24.200298005485898	A
199.31293381971255	324.5718627854149	-1.9529758788654774	C
115	13	24.977555013047393	A
114.9171412922442	330.1051937043667	-0.21229907456839356	B
57.42308245971799	148.76620396971703	-0.11245097781553634	B
278	44	25.061818876602466	A
249	349	16.043185636719894	A
66	3	15.955927322208057	A
67	61	14.640771670412729	A
104.64844003770337	236.48499250409714	0.585048986237389	C
168.16793716006111	221.27645759698126	0.9165483520345079	C
11.51693882420659	69.95939891785383	-0.17142466811959262	B
75.80010518431664	364.94623627513647	-0.18484780747456414	B
96	247	15.281123653834316	A
288.59771080315113	129.01212153956294	-0.6635442801371461	B
269	318	23.81375052974158	A
188.1285723298788	265.4124132357538	-0.02370791982407828	B
158	5	27.315464652894697	A
273.7481188368209	246.5960699384105	-0.06948718647076492	C
40	35	23.872778734526232	A
173.3243830565344	231.4743738828327	-0.9651639486251553	C
163	117	14.343796590352513	A
283	201	26.248206451000524	A
342	79	15.367372804654341	A
240.86696989050182	102.67618332482665	1.1511791806423755	C
271	180	13.671588145903332	A
190.3678923845291	134.33032976463437	-0.9133118242306111	B
174.15875846292877	166.35041413405668	0.401382594149528	C
203.54890619056818	207.94045709368373	-0.0956389963457629	C
99.09347034990788	125.07673222571611	1.5999113975039614	B
167	77	14.439988527113199	A
247.54475858062506	66.06106366962194	-0.970196363902605	B
191.39728983864188	301.4963888563216	0.021500797755679365	B
162.88996419346273	253.97336799299904	-0.8656572573453806	C
124	213	25.91468758436519	A
203	380	25.55528713235668	A
210.8458347252243	144.4525291002056	-0.1929101432838485	C
236	315	16.299804417775874	A
184.14908181875944	220.56361762806773	-0.434632955770349	B
291	18	14.116951134870746	A
266	339	14.063924889587492	A
359.9869340658188	117.81331840902567	-0.8517816451742911	B
140.08156163617969	76.50807593017817	-0.7895632844224955	B
174.33592496456643	310.86611492180657	-0.3040559830761035	C
318	80	13.974202018278092	A
257.03306528120476	142.3963313196128	-0.8221742735261988	C
171.8283022833503	241.29977910785482	0.8042968751886351	C
94	54	15.87331073426793	A
184.17618358838078	230.4244808332832	-0.3367136944015214	C
320.1034212484956	393.02625842392445	0.6154248534717238	B
117	15	14.93161886764933	A
214.83474488090835	86.44464830695473	-1.2088395612199934	C
52	0	24.92681578573523	A
152.73427502524885	227.6084978175053	1.141747490770128	C
206.8279500119388	186.88571210950613	1.6136696231086927	B
169.69775604084134	318.3108953759074	-1.1155959606916197	B
152.17070394842702	123.87810142438887	-0.38356192440535103	C
284	53	13.037084330426165	A
318.3459544554353	249.7066406533122	0.5700162304501367	B
133.21058433502913	106.89440239220858	-1.2374389715129162	B
114	109	25.185765555399772	A
119	335	15.21623993570652	A
75.93090664595366	320.9169164299965	0.6750120974787742	B
84	347	24.122967265617522	A
289	358	23.671407100460957	A
24	185	15.084049006011815	A
196.69498339306745	245.05728523374893	1.452619325795683	C
396	74	15.38046307986602	A
206.87863921620294	217.58802677028106	-0.1072297533164343	C
190.43780555569123	218.90530406807235	0.6065280925505594	C
168	254	14.057412390744698	A
257	101	14.728736236660692	A
186.4075399003923	218.97381003946066	-0.8003723342756894	B
224	185	16.243158669089727	A
230	99	16.51503494131088	A
108	215	24.779452094681147	A
190.09893309321942	211.5232246669965	1.082042553873995	C
379.55697886645794	308.4461994469166	-1.5995964693342626	B
296.91051533445716	235.13791682198644	-0.01876097544747408	B
290.6775090843439	149.3655301630497	-0.10312824008671181	B
88	319	15.077680728198324	A
85	75	24.560060697819804	A
200.081701669842	388.43656945973635	0.36374931125473337	B
246.31652246229982	158.07561831497725	-1.3425929171841209	C
311.817828938365	55.35406209528446	-0.22409225167228977	B
234	193	24.768363150371535	A
298.75399274751544	356.5668422728777	-1.3430865453945597	B
162.19004890302122	197.69681122194712	0.4234693726439973	C
303.8275766999822	238.42726559503097	0.733288572825371	C
59.00387326255441	372.68575383350253	-0.3635338509693278	B
45	38	23.16962910046131	A
60.643635131418705	257.33328377828	0.5611641407488591	B
178.28886611387134	4.461847431957722	0.2828447996970708	B
230	73	25.835809036437738	A
257	311	25.059439270647687	A
56	1	24.432031023305658	A
298.39101154357195	171.46120835095644	0.6162435698112121	B
210.0551403625271	164.41414268203357	0.8712317954416883	C
303.696970269084	3.2255020923912525	0.13772598913475223	B
129	363	13.607954115649592	A
219.72037544474006	109.12184147164226	1.3131110961693875	B
83	229	14.664930620534962	A
25	21	24.264862055053847	A
216.22317982837558	8.063524309545755	-2.5391523027664618	B
92	154	24.085504112894537	A
243.17179069011488	106.56685293588413	-0.09313467944913535	C
176	228	24.8833458391892	A
166	136	26.3275898597308	A
208	33	15.254650864157053	A
97	119	25.80335075495097	A
130	25	15.433943077186612	A
194.09762336478013	220.46506190899703	0.1650516924214123	C
103	392	25.18520208453194	A
257	175	14.914484139744614	A
58	46	25.870921169190613	A
212.02438206147667	206.53485987125472	-0.41942767316351737	C
23	186	15.009529823283318	A
141	54	26.070459792897267	A
93	49	14.596035875607015	A
127	68	13.830362154788968	A
232.57006513300692	273.4856610977878	-0.8166469651940806	C
293.264364823699	149.4292652234435	-0.36799001333117487	B
92.60700615122914	140.61890104785562	0.5612196193587489	B
250	137	13.838540481523639	A
235.82391961487505	227.34230118538426	0.4912805873709352	C
356	4	13.81442970383307	A
32.872260455042124	119.33294516056776	-0.739979606192065	B
186.83058581218506	244.17838792260864	-0.1179231289741525	C
292	0	14.29918498835259	A
273	326	16.722911593743703	A
369.8855069465935	250.9858002886176	1.1962821081446018	B
123	233	13.914051317740634	A
76.05519769713283	340.1837345212698	0.4430667157580967	B
228	23	14.779344790680609	A
360.22161738947034	95.43547388166189	-0.10490292554268502	B
169	78	14.201530125755152	A
2	7	28.040696142566553	A
242	65	24.256976376528744	A
166.09364079970874	255.24798205414592	0.6998365919944199	C
340	79	14.470425720004048	A
221	21	13.726728726006193	A
114	83	25.504154228372506	A
105	70	15.554735256864804	A
16	22	25.651647717921684	A
264	343	25.498381943809395	A
147.11013361239895	260.369314587724	0.9883793134763855	C
50	349	14.892079069373468	A
4	22	15.873149322844945	A
91.48101358471776	221.47425097738417	-0.07208944150952498	C
148.22432119407523	289.20992010574906	-1.2858841328454682	C
186.9682363765868	159.4746749531327	0.4848342631146293	C
242.53793122216575	194.57862586937898	0.8197638746655822	C
151.1671868267477	194.33111267390888	-0.42253098418671037	C
221	102	15.83347697281624	A
81	370	25.636584097624024	A
261.9448460638523	316.36717868968844	-0.47675264719574717	B
295	242	24.733726157005613	A
170.92429632321	28.47697539255023	0.7700394167602573	B
188.0222263599486	279.1992605700168	0.3320312413817162	C
195	69	14.781662717753326	A
311	21	24.653560967017814	A
86	78	25.47269569935486	A
182	77	15.557975355471617	A
246.00714789703488	374.30932680144906	0.8531690806049623	B
207	93	14.837985428456028	A
95	78	26.06566358764355	A
69.19462019577622	195.81721806898713	0.597918365949686	B
298.69354870170355	270.8848494105041	-0.4589721551853466	B
296	111	15.201799263702135	A
159.79491359974753	124.87082171279205	-0.8907348703217502	C
318.45428505912423	272.8426487185061	-1.7452466685057182	B
268.95238710567355	304.0553327649832	0.6537165329463256	B
298	66	15.234543622655071	A
299	309	25.976426492937243	A
163.9151664182678	144.78068770690678	2.5924259453541283	C
